,BRAND,CLUSTERS
35126,66,1
62067,12,0
345179,39,2
180648,47,1
11213,38,2
233199,51,1
170401,47,1
36137,66,1
187538,47,1
188288,47,1
43137,12,0
423270,39,2
201586,47,1
32705,66,1
146279,47,1
276171,10,0
84558,12,0
67274,12,0
291275,10,0
28499,5,0
106486,12,0
267415,10,0
265166,10,0
53312,12,0
375061,39,2
83919,12,0
224384,47,1
294496,42,2
314141,46,1
282829,10,0
118507,12,0
309884,46,1
175953,47,1
170583,47,1
129428,20,0
26796,1,0
369443,39,2
156449,47,1
51053,12,0
365727,39,2
35120,66,1
34109,66,1
181468,47,1
199747,47,1
294287,42,2
198279,47,1
2657,44,1
246571,4,0
199473,47,1
279294,10,0
180876,47,1
297085,42,2
353257,39,2
94742,12,0
89296,12,0
212803,47,1
138591,20,0
223654,47,1
145446,47,1
269213,10,0
288260,10,0
390295,39,2
6042,2,0
421154,39,2
139351,20,0
386195,39,2
399421,39,2
295634,42,2
352125,39,2
121932,12,0
377803,39,2
9901,11,0
318358,46,1
47507,12,0
65343,12,0
105455,12,0
212443,47,1
244219,4,0
11299,44,1
334789,36,2
334132,36,2
170693,47,1
207450,47,1
405202,39,2
30195,66,1
81381,12,0
427347,39,2
253696,4,0
10381,11,0
341694,39,2
106089,12,0
272487,10,0
320961,46,1
112820,12,0
385734,39,2
123370,12,0
65436,12,0
116738,12,0
362715,39,2
139471,20,0
122868,12,0
257910,4,0
215962,47,1
140931,20,0
162732,47,1
47580,12,0
87023,12,0
222425,47,1
416877,39,2
264658,10,0
412937,39,2
139882,20,0
186401,47,1
356138,39,2
406427,39,2
416523,39,2
210851,47,1
289451,10,0
355025,39,2
65746,12,0
36707,12,0
238433,4,0
123078,12,0
96193,12,0
79273,12,0
352228,39,2
56500,12,0
197845,47,1
319054,46,1
380595,39,2
70505,12,0
217223,47,1
170363,47,1
392565,39,2
180280,47,1
147616,47,1
53508,12,0
370721,39,2
212012,47,1
3487,25,0
270884,10,0
398843,39,2
113064,12,0
350393,39,2
408274,39,2
139932,20,0
252638,4,0
291936,10,0
364166,39,2
186198,47,1
70226,12,0
45813,12,0
373533,39,2
112214,12,0
404622,39,2
108878,12,0
383095,39,2
3413,44,1
11237,11,0
360605,39,2
11073,48,1
74522,12,0
192226,47,1
112725,12,0
212124,47,1
132916,20,0
106200,12,0
372497,39,2
272831,10,0
195914,47,1
274024,10,0
408241,39,2
15660,17,0
337400,36,2
48725,12,0
367683,39,2
350882,39,2
291756,10,0
414043,39,2
175135,47,1
421577,39,2
367137,39,2
79532,12,0
204552,47,1
263180,10,0
68810,12,0
427904,39,2
419578,39,2
397248,39,2
293221,10,0
194761,47,1
45176,12,0
281272,10,0
421374,39,2
285177,10,0
219613,47,1
30472,66,1
147882,47,1
168970,47,1
414735,39,2
333388,36,2
9652,58,1
32272,66,1
438286,39,2
397422,39,2
25515,1,0
405960,39,2
103878,12,0
268189,10,0
217257,47,1
368073,39,2
55436,12,0
187205,47,1
168682,47,1
184811,47,1
75803,12,0
303097,46,1
279039,10,0
226750,47,1
435261,39,2
339935,36,2
178250,47,1
241541,4,0
272944,10,0
252354,4,0
414786,39,2
310611,46,1
434064,39,2
353929,39,2
244424,4,0
58389,12,0
23837,17,0
227729,47,1
401091,39,2
378450,39,2
311138,46,1
107258,12,0
