,BRAND,BRAND NAME
0,0,Castle Lager
1,1,south africa brands
2,2,castle milk stout
3,3,carling black label
4,4,castle lager
5,5,Flying Fish
6,6,Corona
7,7,Corona
8,9,abi_brand
9,10,Castle Lite
10,11,abi_brand
11,12,flying fish
12,13,Corona
13,15,carling black label
14,16,Corona
15,17,africa brands
16,18,castle milk stout
17,19,Castle Lager Double Malt
18,20,africa brands
19,21,castle milk stout
20,22,castle lite
21,23,castle milk stout
22,24,Castle Lager
23,25,Flying Fish
24,26,Stella Artois
25,27,Corona
26,29,budweiser
27,30,Brutal Fruit
28,31,castle milk stout
29,33,Castle Lite
30,34,Castle Lager Double Malt
31,35,Corona
32,36,Castle Lager
33,37,castle milk stout
34,38,castle milk stout
35,39,castle lite
36,40,Corona
37,41,abi_brand
38,42,Castle Lite
39,43,Corona
40,44,Castle Lager Double Malt
41,45,Corona
42,46,africa brands
43,47,africa brands
44,48,castle milk stout
45,49,Castle Lite
46,50,Flying Fish Seltzer
47,51,Castle Lite
48,52,Castle Lite
49,53,castle milk stout
50,54,Budweiser
51,55,corona
52,56,carling black label
53,57,Corona
54,58,budweiser
55,59,Castle Lite
56,61,Flying Fish
57,62,south africa brands
58,63,corona
59,64,flying fish
60,65,flying fish
61,66,sab corporate
62,68,Castle Lite
