age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
72,0,20407,11,15,6,0,1,4,0,0,86,34,39,0
65,4,2652,11,15,6,4,1,4,0,0,86,9,39,0
49,0,7318,15,1,6,0,4,2,0,0,86,34,39,0
37,4,3149,5,10,0,7,4,4,0,0,84,34,39,0
24,4,13165,15,1,5,10,3,4,0,0,84,34,39,0
17,4,10365,11,15,0,8,4,4,0,0,83,39,39,0
21,4,3943,0,12,5,1,4,4,1,0,83,34,39,0
57,7,20951,10,7,4,10,2,4,0,0,82,12,39,1
51,1,18188,11,15,0,10,1,4,0,0,82,34,39,0
24,4,20088,15,1,4,3,4,4,1,0,80,56,0,1
28,4,5789,10,7,0,10,4,2,0,0,80,28,39,1
21,6,5047,14,6,4,10,1,4,1,0,79,39,39,1
35,4,2411,9,4,6,8,1,4,0,0,79,12,39,1
15,4,2862,12,5,5,4,1,4,1,0,79,50,39,1
34,0,5781,10,7,4,0,1,4,1,0,79,34,39,1
29,4,18551,14,6,0,10,1,4,1,0,79,34,39,1
28,4,5843,1,13,0,14,1,4,1,0,79,71,39,1
40,4,15450,12,5,0,4,1,4,1,0,79,45,39,1
5,4,1693,7,3,4,6,1,2,1,0,79,34,0,1
17,4,9194,9,4,5,12,1,4,1,0,79,45,39,1
20,4,7647,9,4,4,4,1,4,1,0,79,34,39,1
12,4,20406,1,13,5,12,1,4,0,0,78,36,39,0
44,4,14382,11,15,0,12,4,4,0,0,78,17,39,0
34,4,4186,15,1,2,14,0,4,1,0,77,34,39,0
44,0,2807,11,15,2,0,0,4,1,0,77,25,39,0
4,4,16369,8,2,2,3,0,4,1,0,77,34,39,0
16,4,11174,3,8,2,3,1,4,1,0,77,25,26,0
32,4,1886,4,9,2,8,0,4,1,0,77,34,12,0
20,5,584,0,12,4,14,1,4,1,0,76,45,39,1
21,4,6122,0,12,4,10,1,4,1,0,76,85,39,1
6,4,18422,15,1,5,8,1,4,1,0,76,34,39,1
42,5,597,0,12,6,4,4,4,0,0,76,45,39,1
